_id,medicine_name,alternative_match_key,brand,brand_normalized,brand_strictness,category_tags[0],category_tags[1],category_tags[2],category_tags[3],category_tags[4],category_tags[5],category_tags[6],category_tags[7],category_tags[8],category_tags[9],category_tags[10],category_tags[11],category_tags[12],category_tags[13],category_tags[14],category_tags[15],category_tags[16],composition,created_at,dosage,dosage_unit,dosage_value,enrichment_model,enrichment_prompt_type,enrichment_prompt_version,enrichment_source,evital_enriched,evital_medicine_id,form,form_group,formulation_modifier,identifier_type,is_active,item_category,item_type,last_enriched_at,llm_enriched,manually_reviewed,manufacturer,normalized_composition,pack_size.pack_size_raw,pack_size.pack_size_value,pack_size.pack_size_unit,pack_size.packing_type,pack_size.packing_size_description,pack_size.sellable_unit,pack_size.units_per_sellable,pack_size.sellable_unit_type,primary_benefit,primary_category_id,schedule,search_aliases[0],search_aliases[1],search_aliases[2],search_aliases[3],search_aliases[4],search_aliases[5],search_aliases[6],search_aliases[7],search_aliases[8],search_aliases[9],search_aliases[10],search_aliases[11],search_aliases[12],search_aliases[13],search_aliases[14],search_aliases[15],search_aliases[16],search_aliases[17],variant,brand_token_count,brand_tokens[0],brand_tokens[1],brand_tokens[2],brand_tokens[3],brand_tokens[4],brand_tokens[5],brand_tokens[6],brand_tokens[7],brand_tokens[8],brand_tokens[9],brand_tokens[10],brand_tokens[11],brand_tokens[12],last_evital_enriched_at,sale_discount,_phantom_deactivated_job_id,updated_at,composition_salts[0],composition_salts[1],composition_salts[2],composition_salts[3],composition_salts[4],composition_salts[5],composition_salts[6],composition_salts[7],composition_salts[8],composition_salts[9],composition_salts[10],composition_salts[11],composition_salts[12],composition_salts[13],composition_salts[14],composition_salts[15],composition_salts[16],composition_salts[17],composition_salts[18],composition_salts[19],composition_salts[20],composition_salts[21],composition_salts[22],composition_salts[23],composition_salts[24],composition_salts[25],composition_salts[26],composition_salts[27],composition_salts[28],composition_salts[29],composition_salts[30],composition_salts[31],composition_salts[32],composition_salts[33],composition_salts[34],composition_salts[35],composition_salts[36],composition_salts[37],composition_salts[38],composition_salts[39],composition_salts[40],composition_salts[41],composition_salts[42],composition_salts[43],composition_salts[44],composition_salts[45],composition_salts[46],composition_salts[47],composition_salts[48],composition_salts[49],dosage_components[0].value,dosage_components[1].value,dosage_components[2].value,dosage_components[3].value,dosage_components[4].value,dosage_components[5].value,dosage_components[6].value,dosage_components[7].value,dosage_components[8].value,dosage_components[9].value,dosage_components[10].value,dosage_components[11].value,dosage_components[12].value,dosage_components[13].value,dosage_components[14].value,dosage_components[15].value,dosage_components[16].value,dosage_components[17].value,dosage_components[18].value,dosage_components[19].value,dosage_components[20].value,dosage_components[21].value,dosage_components[22].value,dosage_components[23].value,dosage_components[24].value,dosage_components[25].value,dosage_components[26].value,dosage_components[27].value,dosage_components[28].value,dosage_components[29].value,dosage_components[30].value,dosage_components[31].value,dosage_components[32].value,dosage_components[33].value,dosage_components[34].value,dosage_components[35].value,dosage_components[36].value,dosage_components[37].value,dosage_components[38].value,dosage_components[39].value,dosage_components[40].value,dosage_components[41].value,dosage_components[42].value,dosage_components[43].value,dosage_components[44].value,dosage_components[45].value,dosage_components[46].value,dosage_components[47].value,dosage_components[48].value,dosage_components[49].value,dosage_components[50].value,dosage_components[0].unit,dosage_components[1].unit,dosage_components[2].unit,dosage_components[3].unit,dosage_components[4].unit,dosage_components[5].unit,dosage_components[6].unit,dosage_components[7].unit,dosage_components[8].unit,dosage_components[9].unit,dosage_components[10].unit,dosage_components[11].unit,dosage_components[12].unit,dosage_components[13].unit,dosage_components[14].unit,dosage_components[15].unit,dosage_components[16].unit,dosage_components[17].unit,dosage_components[18].unit,dosage_components[19].unit,dosage_components[20].unit,dosage_components[21].unit,dosage_components[22].unit,dosage_components[23].unit,dosage_components[24].unit,dosage_components[25].unit,dosage_components[26].unit,dosage_components[27].unit,dosage_components[28].unit,dosage_components[29].unit,dosage_components[30].unit,dosage_components[31].unit,dosage_components[32].unit,dosage_components[33].unit,dosage_components[34].unit,dosage_components[35].unit,dosage_components[36].unit,dosage_components[37].unit,dosage_components[38].unit,dosage_components[39].unit,dosage_components[40].unit,dosage_components[41].unit,dosage_components[42].unit,dosage_components[43].unit,dosage_components[44].unit,dosage_components[45].unit,dosage_components[46].unit,dosage_components[47].unit,dosage_components[48].unit,dosage_components[49].unit,dosage_components[50].unit,dosage_pattern,dosage_pattern_with_units,composition_recovery_attempted_at,composition_recovery_job_id,composition_status,composition_indexed,composition_indexed_at,composition_indexed_reason,composition_recovery_at,composition_source,composition_source_confidence,composition_source_job_id,composition_source_urls[0],composition_source_urls[1],composition_source_urls[2],pack_size,manufacturer_name,mrp,price,pack_size_details,packing_size,size,packing,slug,sibling_origin,_sweep_job_id,_phantom_salvage_job_id,salt_content_id,_llm_refresh_at,_llm_refresh_job_id,composition_recovery_from_id
69bdb52e84301765208112f5,2baconil 4mg Nicotine Gum Icy Mint Sugar Free,,2baconil,2baconil,,nicotine gum,smoking cessation,quit smoking,tobacco de addiction,nicotine replacement therapy,nrt,craving relief,smoking addiction,cigarette craving,tobacco craving,,,,,,,,,2026-03-20T20:59:26.892326+00:00,4mg,mg,4,gpt-5.4,allopathic,2.0,llm_only,false,,,J,,brand_name,false,otc,medicine,2026-03-27T08:57:17.411436+00:00,true,false,,,,,,,,,,,quit smoking support,,OTC,2baconil 4,2baconil sugar free,2baconil icy mint,2baconil,2 baconil 4,2 baconil,2baconil 4mg,2baconil4,,,,,,,,,,,,1,2baconil,,,,,,,,,,,,,2026-03-26T20:33:34.924805+00:00,0,e74f4251,2026-05-07T03:47:09.730126+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69bdb53084301765208112f6,1 AL Syrup,levocetirizine 2.5mg/5ml,1 AL,1 al,,levocetirizine,antihistamine,anti allergy,allergy,sneezing,runny nose,itching,allergic rhinitis,urticaria,naak bahna,chheenk,khujli,,,,,,Levocetirizine (2.5mg/5ml),2026-03-20T20:59:28.543045+00:00,,mg,2.5,gpt-5.4,allopathic,2.0,evital+llm,true,hGlMIfYvywPNDqWIEoewMw==,Syrup,A,,brand_name,true,drug,medicine,2026-03-20T20:59:28.542816+00:00,true,false,FDC Ltd,levocetirizine 2.5mg/5ml,30 Ml,30,ml,bottle,1 Bottle of  30 Ml,bottle,30,measurement,allergy relief,819,H,1 al levocet,1alsyrup,1 al,1al syrup,one al,1 al syrup,1al,1-al,,,,,,,,,,,,2,1,al,,,,,,,,,,,,,,,2026-05-06T08:26:41.935251+00:00,levocetirizine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mg,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5/5,2.5mg/5ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69bdb53684301765208112fd,3Ply Face Mask Black,mask,3Ply,3ply,FLEXIBLE,face mask,mask,surgical,protection,disposable,3 ply,black,personal protection,hygiene,medical mask,,,,,,,,,2026-03-20T20:59:34.323981+00:00,,,,gpt-5.4,product,2.0,evital+llm,true,CqMC8sCjSSiX9dM/qjFwOg==,Mask,SURGICAL_DRESSING,,brand_name,true,surgical,product,2026-03-20T20:59:34.323915+00:00,true,false,Not Available,,1 Piece,1,piece,packet,1 Packet of  1 Piece,packet,1,countable,face protection,845,OTC,3ply,3ply mask,black 3 ply mask,black surgical mask,3ply face mask black,3 ply face mask,3 layer face mask,face mask black,,,,,,,,,,,Face Mask Black,1,3ply,,,,,,,,,,,,,,,,2026-03-31T11:09:09.461256+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69bdb53884301765208112ff,4G Pine Capsule,,4G Pine,4g pine,,capsule,medicine,allopathic,prescription,drug,camillus healthcare,,,,,,,,,,,,,2026-03-20T20:59:36.891586+00:00,,,,gpt-5.4,allopathic,2.0,evital+llm,true,jpQI5ooc9dZOlxGLyA28CA==,Capsule,C,,brand_name,true,drug,medicine,2026-03-20T20:59:36.891529+00:00,true,false,Camillus Healthcare,,10 Capsules,10,capsules,strip,1 Strip of 10 capsules,strip,10,countable,,841,,four g pine,4g pine,4 g pine,4gpine,4g pine cap,4g pine capsule,,,,,,,,,,,,,,2,4g,pine,,,,,,,,,,,,,,,2026-03-31T11:09:09.461256+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69bdb5398430176520811300,8x KT Shampoo,ketoconazole 2% + zinc pyrithione 1%,8x KT,8x kt,,ketoconazole,zinc pyrithione,antifungal,anti dandruff,dandruff,scalp infection,seborrheic dermatitis,itchy scalp,fungal infection,khujli,ruff,,,,,,,Zinc Pyrithione (1%w/v) + Ketoconazole (2%w/v),2026-03-20T20:59:37.824396+00:00,,%,2,gpt-5.4,allopathic,2.0,evital+llm,true,Z8ZKZWAmFtwfNKyC934aKQ==,Shampoo,J,KT,brand_name,true,otc,medicine,2026-03-20T20:59:37.824338+00:00,true,false,Cipla Ltd,ketoconazole 2% + zinc pyrithione 1%,60 Ml,60,ml,bottle,1 Bottle of  60 Ml,bottle,60,measurement,dandruff control,819,OTC,8x kt,8xkt,8x kt shampoo,8x-kt,8x-kt shampoo,8xkt shampoo,,,,,,,,,,,,,,2,8x,kt,,,,,,,,,,,,,,,2026-05-05T18:49:43.485052+00:00,ketoconazole,zinc pyrithione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1,2%+1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69bdb53c8430176520811302,8X Shampoo,ciclopirox 1% + zinc pyrithione 1%,8X,8x,,ciclopirox,zinc pyrithione,antifungal,anti dandruff,dandruff,scalp infection,seborrheic dermatitis,itching scalp,fungal infection,khujli,ruff,medicated shampoo,,,,,,Zinc Pyrithione (1%w/v) + Ciclopirox (1%w/v),2026-03-20T20:59:40.373760+00:00,,%,1,gpt-5.4,allopathic,2.0,evital+llm,true,LDZIlAAVHBcDqY2y2AkrGw==,Shampoo,J,,brand_name,true,otc,medicine,2026-03-20T20:59:40.373705+00:00,true,false,Cipla Ltd,ciclopirox 1% + zinc pyrithione 1%,120 Ml,120,ml,bottle,1 Bottle of  120 Ml,bottle,120,measurement,dandruff control,819,OTC,8xshampoo,8x shampoo,8 x,8-x,cipla 8x,8x anti dandruff,8x,8x scalp,,,,,,,,,,,,1,8x,,,,,,,,,,,,,,,,2026-05-05T18:49:43.485052+00:00,ciclopirox,zinc pyrithione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1,1%+1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69bdb53d8430176520811303,A Ret 0.025% Gel,tretinoin 0.025%,A Ret,a ret,,tretinoin,retinoid,anti acne,acne,pimples,muhase,skin renewal,comedones,acne treatment,topical retinoid,,,,,,,,Tretinoin (0.025%w/w),2026-03-20T20:59:41.151203+00:00,0.025%,%,0.025,gpt-5.4,allopathic,2.0,evital+llm,true,lLoer5juR6F7bQS5ymrPZg==,Gel,D,,brand_name,true,drug,medicine,2026-03-20T20:59:41.151152+00:00,true,false,Menarini India Pvt Ltd,tretinoin 0.025%,20 Gm,20,gm,tube,1 Tube of  20 Gm,tube,20,measurement,acne and pimples treatment,819,H,a ret 0.025%,a ret 0.025,a ret gel,aret 0.025,a ret,aret0.025,a-ret,a-ret 0.025,aret,,,,,,,,,,,2,a,ret,,,,,,,,,,,,,,,2026-05-06T08:25:10.610353+00:00,tretinoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.025%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69bdb53f8430176520811304,A To Z Gold NS Capsule,,A To Z Gold NS,a to z gold ns,,multivitamin,multimineral,nutritional supplement,vitamin supplement,mineral supplement,general weakness,fatigue,immunity support,daily nutrition,health supplement,,,,,,,,,2026-03-20T20:59:43.368120+00:00,,,,gpt-5.4,allopathic,2.0,llm_only,false,,Capsule,C,NS,brand_name,false,otc,medicine,2026-03-27T08:57:23.859943+00:00,true,false,,,,,,,,,,,nutritional supplementation,,OTC,atoz ns,atoz gold,a to z ns,a to z gold,a-to-z gold ns,a to z gold ns,atozgoldns,atoz gold ns,,,,,,,,,,,,5,a,to,z,gold,ns,,,,,,,,,2026-03-26T20:33:35.938524+00:00,20,e74f4251,2026-05-07T03:47:09.730126+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69c2bf47843017652081130e,A To Z NS Plus Mango Drops,,A To Z NS Plus,a to z ns plus,,multivitamin,vitamin supplement,nutritional supplement,drops,immunity support,general weakness,appetite support,child nutrition,baby vitamin drops,growth support,,,,,,,,,2026-03-24T16:43:51.007683+00:00,,,,gpt-5.4,allopathic,2.0,llm_only,false,,Drops,G,Plus,brand_name,false,otc,medicine,2026-03-27T08:57:29.522912+00:00,true,false,,,,,,,,,,,multivitamin supplementation,,OTC,a to z ns+,atoz plus,atoznsplus,a to z ns plus mango,a to z ns plus,a to z plus,atoz ns plus,atoz ns plus mango,,,,,,,,,,,,5,a,to,z,ns,plus,,,,,,,,,2026-03-26T20:33:36.950897+00:00,0,e74f4251,2026-05-07T03:47:09.730126+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69c2bf49843017652081130f,A To Z Tablet,multivitamin_antioxidant,A To Z,a to z,PREFERRED,multivitamin,multimineral,antioxidant,lycopene,vitamin supplement,energy,immunity,general weakness,kamzori ki dawai,supplement,otc,daily nutrition,,,,,,Vitamin C (25mg) + Vitamin E (8mg) + Vitamin B3 (12mg) + Lycopene (2mg) + Manganese (2mg) + Vitamin B6 (1.5mg) + Vitamin B1 (0.5mg) + Folic Acid (10mcg) + Vitamin B2 (0.9mg) + Vitamin B5 (3mg) + Vitamin A (350mcg) + Vitamin B12 (0.6mcg) + Copper Gluconate (900mcg),2026-03-24T16:43:53.092662+00:00,,mg,25,gpt-5.4,nutra_ayur_homeo,2.0,evital+llm,true,URqq9wnCDmwTwJJtEeeUUg==,Tablet,C,,brand_name,true,nutraceuticals,nutraceutical,2026-03-24T16:43:53.092495+00:00,true,false,Zota Healthcare Ltd,vitamin c 25mg + vitamin e 8mg + niacinamide 12mg + lycopene 2mg + manganese 2mg + pyridoxine 1.5mg + thiamine 0.5mg + folic acid 10mcg + riboflavin 0.9mg + pantothenic acid 3mg + vitamin a 350mcg + cyanocobalamin 0.6mcg + copper gluconate 900mcg,15 Tablet,15,tablet,strip,1 Strip of  15 Tablet,strip,15,countable,multivitamin,847,OTC,a to z,atoz tablet,atoztablet,a to z tablet,a to z zota,atoz,zota a to z,a to z multivitamin,,,,,,,,,,,,3,a,to,z,,,,,,,,,,,,,,2026-05-05T18:49:43.485052+00:00,copper gluconate,folic acid,lycopene,manganese,niacinamide,pantothenic acid,pyridoxine,riboflavin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,8,12,2,2,1.5,0.5,10,0.9,3,350,0.6,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mg,mg,mg,mg,mg,mg,mg,mcg,mg,mg,mcg,mcg,mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/8/12/2/2/1.5/0.5/10/0.9/3/350/0.6/900,25mg+8mg+12mg+2mg+2mg+1.5mg+0.5mg+10mcg+0.9mg+3mg+350mcg+0.6mcg+900mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
